id,screen_name,name,description,image,followers_count,friends_count
49749731,GrameenAmerica,Grameen America,"Small loans. Big impact. Investing over $2.12 billion in more than 142,500 low-income women entrepreneurs across the U.S.",http://pbs.twimg.com/profile_images/1192106044379598848/QmIfnQ3y_normal.jpg,9167,3264
267921808,RobinRoberts,Robin Roberts,Good Morning America Anchor,http://pbs.twimg.com/profile_images/846351713078521856/OBvT5ryD_normal.jpg,1141436,1707
1314006455897518081,DalioDotOrg,Dalio Philanthropies,"Supporting equal opportunity in education and health, poverty alleviation and microfinance, ocean exploration and conservation, mental health, arts, and more.",http://pbs.twimg.com/profile_images/1315832057864556546/5Zzcq79j_normal.jpg,10064,70
772493970,ericsyuan,Eric S. Yuan (he / him / his),"Founder & CEO @Zoom | Your happiness is my happiness. San Jose, CA https://t.co/vgMERmKI4A",http://pbs.twimg.com/profile_images/918616411898908672/QVASJ_NY_normal.jpg,89500,9621
38531995,DrOz,Dr. Mehmet Oz,"Cardiac Surgeon and Host of #TheDrOzShow
Candidate for U.S. Senate",http://pbs.twimg.com/profile_images/1465768181407096841/AESkmZqh_normal.jpg,3889068,845
1333171793201225728,SecYellen,Secretary Janet Yellen,78th Secretary of the Treasury. Former Fed Chair. Always an economist.,http://pbs.twimg.com/profile_images/1333421043772375043/N3Z22RJ1_normal.jpg,312541,75
1079830143756103681,DalioEducation,Dalio Education,"Working to strengthen public education by engaging with educators, community leaders, and young people to design solutions to achieve greater equity across CT.",http://pbs.twimg.com/profile_images/1309171002761515009/BWfK__rU_normal.jpg,2098,382
296442457,aplusapp,A Plus,"At A Plus, we believe in the power of positive thinking — and storytelling. Founded by @aplusk.",http://pbs.twimg.com/profile_images/1107748303758872576/a5Cml_Tg_normal.jpg,29478,271
818902892652466176,mastersofscale,Masters of Scale,"Our new book, Masters of Scale: Surprising Truths from the World's Most Successful Entrepreneurs, is out now! Order at the link below👇",http://pbs.twimg.com/profile_images/876926653565460481/ec53l0cw_normal.jpg,28680,4322
2354465522,jayshetty,Jay Shetty,"Jay Shetty | Storyteller, Podcast Host, Former Monk | Listen to my Podcast #OnPurpose | Training and certifying life coaches at @JSCertification",http://pbs.twimg.com/profile_images/815605297960067072/xei_izvV_normal.jpg,320989,11962
18812572,60Minutes,60 Minutes,"The most successful news magazine in TV history, offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news.",http://pbs.twimg.com/profile_images/1367671817184350209/j0YT0FP3_normal.jpg,1219189,503
3247141915,JessePalmerTV,Jesse James Palmer,Host of The Bachelor Season 26 🌹 College Football Analyst at ESPN 🏈 Host of Holiday Baking Championship 🧁      IG:https://t.co/Cs6hZVmdGC,http://pbs.twimg.com/profile_images/690593540066447361/ErSjT7mT_normal.jpg,36141,83
16204225,TheAudaciousPrj,The Audacious Project,A new model for inspiring global change. Housed at @TEDTalks. Let's change the way we change the world. https://t.co/UJm2YP4BF2,http://pbs.twimg.com/profile_images/981510511878721536/dNaA7zBs_normal.jpg,21599,194
313381067,lloydblankfein,Lloyd Blankfein,Former CEO on a gap year,http://pbs.twimg.com/profile_images/877905515250167808/YSGUHgIa_normal.jpg,152460,34
427900496,SueDHellmann,Dr. Sue Desmond-Hellmann,"Fan of science, running, cycling, reading, skiing, @sfgiants. Instagram @ suedesmondhellmann",http://pbs.twimg.com/profile_images/1450296937035431938/NHytzlxc_normal.jpg,62590,835
48436234,ApplePodcasts,Apple Podcasts,The home of your next favorite podcasts and a place to get more access to the creators behind them.,http://pbs.twimg.com/profile_images/1009097162104246272/07rvgUrd_normal.jpg,626337,1842
38429399,JFKJrForum,JFK Jr. Forum,"Account of the John F. Kennedy Jr. Forum, Harvard’s premier arena for political discussion. Instagram: jfkjrforum. FB: https://t.co/sSPdw6nW2l",http://pbs.twimg.com/profile_images/913816115100377088/t9pZq5rT_normal.jpg,15514,8
9500242,amywebb,Amy Webb,CEO of @FTI. Quantitative Futurist. Pre-order my new book about #syntheticbiology THE GENESIS MACHINE at the link below!🖖,http://pbs.twimg.com/profile_images/1083369426479661056/5o5g6tjU_normal.jpg,67808,2837
34719119,WalterIsaacson,Walter Isaacson,"Professor @Tulane. Author of The Code Breaker, Leonardo da Vinci, Franklin, Einstein, & Steve Jobs. Formerly Time, CNN, & Aspen Institute. Next: Elon Musk.",http://pbs.twimg.com/profile_images/1208967434503409665/3c7F4X92_normal.jpg,136343,532
58560480,MichaelDell,Michael Dell,Self-employed Grateful #PlayNiceButWin https://t.co/3JiGiM7t3C,http://pbs.twimg.com/profile_images/1475147187172483076/9i6PbU06_normal.jpg,657503,3510
